,Document directory,Format,Comic_title,Untranslated Title,Source Title,Author,Translator,Author_origin,Author_country (current),Global region,Country,Language,Original Language (Translations),Publisher,Genre ,"Comic ""style""",Audience,Demographic,Publication Date,Pages#,Chapters Qty,Chapter/Issue#,Completed,Description,Website,CCL,Permission,File,Notes,Country again,Title again,Spacer,MAST Notes,Uploaded to MAST,1.1: Panels & Panels,1.2: Characters,1.2.1 Gender,1.3: Carriers,2.1: Framing,2.2: Continuity Annotations,2.2: Continuity Relations,2.3: Motion Events,2.4: ICS,2.5: Character Emotions,2.5.1 Panel Emotions,2.6 Panel Templates,2.7 Panel Borders,2.8 POV,2.9 Onoma,3.1 Situation,3.2 Depth,3.3 Gesture
LK,,Comic Book,D. E. U. D. A.: deuda externa un dibujo argentino,,,"Mariano Krasmanski, Guilhermo Ortiz",,Argentina,Argentina,South America,Argentina,Spanish,,Universidad de Buenos Aires,Indy,Cartoony,Everyone,,2006,59,1,1,Completed,,,,Private,D. E. U. D. A. - Guilhermo Ortiz,,Argentina,D. E. U. D. A.: deuda externa un dibujo argentino,1,,NC-2022F,GC,,,,TH+,,, +,,,JB,NC+,FM,,MM,,,
FC,,Comic book,Reichkameraden,,,"Gastón Martino, Guillermo Martínez",,Argentina,Spain,South America,Argentina,Spanish,Spanish,Revista Exégesis,Adventure,Adventure,Teen/Adult,,2014,65,1,1,Yes,"Adventure, shrewdness and humor.",colaboradores.exegesis@gmail.com / https://revista-exegesis.com/colaboraciones/,,Sharing,Revista_Exegesis_Reichkameraden,,Argentina,Reichkameraden,1,,NC-2022F,TH,,,,TH+,,, +,,,XZ*,NC+,FM,,MM,,,
FC,,Comic book,Babetool Volumen 1,,,"José A. García, José L. Gaitán",,Argentina,Argentina,South America,Argentina,Spanish,Spanish,Revista Exégesis,"Action, Adventure",Action/Adventure,Teen,,2015,75,2,1,Yes,High-flying action and adventure,colaboradores.exegesis@gmail.com / https://revista-exegesis.com/colaboraciones/,,Sharing,Revista_Exegesis_babetool-v1,,Argentina,Babetool Volumen 1,1,,NC-2022F,GC,SK,SE,,TH+,YS,YS, +,,,SD,NC+,SG,,MM,MaM,RB,
LK,,Comic Book,El Loco Chavez: Gato,,,"Carlos Trillo, Horacio Altuna",,Argentina,United Kingdom,South America,Argentina,Spanish,,Doedytores,Indy,Superhero,Adult,,1989,97,1,1,Completed,,,,Private,El Loco Chavez - Carlos Trillo.pdf,"This edition is from 2008. One of Carlos Trillo´s works, one of the most important comic writers in Argentina.",Argentina,El Loco Chavez: Gato,1,,NC-2022F,TH,,,,TH+,,, +,,,SD,NC+,FM,,MM,,,
FC,,Comic book,Allman: Los olvidados del infierno,,,Gastón Martino,,Argentina,Spain,South America,Argentina,Spanish,Spanish,Revista Exégesis,Science fiction,Science fiction,Teen/Adult,,2012,98,1,1,Yes,A distant and prodigious future.,colaboradores.exegesis@gmail.com / https://revista-exegesis.com/colaboraciones/,,Sharing,Revista_Exegesis_Allman,,Argentina,Allman: Los olvidados del infierno,1,,NC-2022F,TG,,,,TH+,TH,, +,,,JB,NC+,SG,,MM,ND,RB,
LK,,Comic Book,Dora,,,Ignacio Minaverry,,Argentina,Argentina,South America,Argentina,Spanish,,Ediciones Sins entido,Indy,Ligne claire,Everyone,,2012,177,1,1,Completed,,,,Private,Dora - Ignacio Minaverry.pdf,,Argentina,Dora,1,p.6-7 spread,NC-2022F,GC,,,,TH+,BK,, +,,,XZ,NC+,SG,,MM,MaM,RB,
LK,,Comic Book,El Eternauta,,,"Héctor Germán Oesterheld, Francisco Solano López",,Argentina,Argentina,South America,Argentina,Spanish,,Hora Cero Semanal,Science Fiction,Superhero,Everyone,,1957,353,1,1,Completed,,,,Private,El eternauta - Héctor Germán Oesterheld & Francisco Solano López.pdf,The Eternaut is a seminal comic of Argentina. A Science Fiction with a political issue background about the dictatorship .,Argentina,El Eternauta,1,,NC-2022F,TG/AS,,,,TH+,,, +,,,XZ,NC+,SG,,MM,,,
SG,,Graphic Novel,¡Adiós Nonnina!,"
",,Lenm,,Argentina,Argentina,South America,Argentina,Spanish,,,"Slice of Life, Drama",,,,2022,24,,,Yes,,,,,,,Argentina,¡Adiós Nonnina!,1,,NC-2023S,TH,TH-,SE,,TH+,TH,, +,,,SD,NC+,FM,,MM,,,
IH,,Comic book,Boomerang,,,Christineh Khanumyan (illustrations: Tigran Mangasaryan),,,,Europe,Armenia,English,Armenian,,"Slice of Life, Drama",,,,,5,,,,,,,,,,Armenia,Boomerang,1,,NC,SG,BK,PB,,JV+,BK,BK,SG%+,PG,LP,LZ+,NC,SG,,MM,KV,RB,
IH,,Comic book,Franklin Gonzales - The Last Song,,,Vahe Nersesian (also artist),,,,Europe,Armenia,English,Armenian,,,,,,,5,,,,,,,,,,Armenia,Franklin Gonzales - The Last Song,1,,NC,SG,SG%,,,JV+,AS,,CW+,,,XZ,NC,SG,,MM, ,,
IH,,Comic book,Hidden Talent,,,Vahe Nersesian (illustrations: Tigran Vardikyan),,,,Europe,Armenia,English,,,,,,,,5,,,,,,,,,,Armenia,Hidden Talent,1,,NC,SG,BK,PB,,JV+,BK,BK,CW+,,LP,SD*,NC,SG,,MM,DM,RHE,
IH,,Comic book,Mosquito,,,Vahe (also artist),,,,Europe,Armenia,English,,,Comedy,,,,,5,,,,,,,,,,Armenia,Mosquito,1,,NC,SG,OS+,PB,,JV+,AS,,CW+,,AB,JB+,NC,SG,,MM,DM,RB,
IH,,Comic book,Babies For Sale,,,Tigran Mangasaryan (also artist),,,,Europe,Armenia,English,,,,,,,,6,,,,,,,,,,Armenia,Babies For Sale,1,,NC,SG,BK,PB,,JV+,BK,BK,IH+,,FC%,SD,NC,FM,,MM,DM,,
IH,,Comic book,Varda,,,Tigran Mangasaryan (also artist),,,,Europe,Armenia,English,,,,,,,,6,,,,,,,,,The story by www.DaphneArmenia.com,Armenia,Varda,1,,NC,SG,BK,PB,,JV+,BK,BK,ID%+,,AB,JB,NC,SG,,MM,DM,,
IH,,Comic book,"Veni, Vidi, Divisam (I came, I saw, I divided)",,,Vahe (also artist),,,,Europe,Armenia,English,,,,,,,,6,,,,,,,,,,Armenia,"Veni, Vidi, Divisam (I came, I saw, I divided)",1,,NC,SG,SG,PB,,JV+,YS,YS,ID%+,,AB,JB*,NC,SG,,MM,DM,,
IH,,Comic book,Mom's Pakhlava,,,Tigran Mangasaryan (also artist),,,,Europe,Armenia,English,,,Drama,,,,,7,,,,,,,,,The story by www.DaphneArmenia.com,Armenia,Mom's Pakhlava,1,,NC,SG,BK+,PB,,JV+,BK,BK,ID%+,,AB,JB,NC,,,MM,DM,,
IH,,Comic book,Pressure,,,Vahe Nersesian (illustrations: Tigran Vardikyan),,,,Europe,Armenia,English,,,,,,,,7,,,,,,,,,,Armenia,Pressure,1,,NC,SG,BK,PB,,JV+,BK,BK,SG(i)%+,,LP,JB*,NC,SG,,MM,DM,,
IH,,Comic book,26 Needled Girl,,,Vahe Nersesian (also artist),,,,Europe,Armenia,English,,,Horror,,,,,9,,,,,,,,,,Armenia,26 Needled Girl,1,,NC,SG,SG,PB,,JV+,BK,BK,SG(i)%+,,AB,JB,NC,SG,,MM,DM,,
IH,,Comic book,40 Years of Silence,,,Vahe Nersesian (also artist),,,,Europe,Armenia,English,,,"Autobiographical, Drama",,,,,14,,,,,,,,,,Armenia,40 Years of Silence,1,,NC,SG,BK,PB,,JV+,BK,BK,IH+,,AB,XZ,NC,SG,,MM,DM,RB,
NC/SL,,Comic book,Khulan-1,,,Katie Houghton-Ward,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2015,22,2,1,,,,,,Khulan-1.pdf,,Australia,Khulan-1,1,,NC-2022F,TH,,,,TH+,TH,, +,,,LZ,NC+,,,MM,DM,,
NC/SL,,Comic book,Cleverman-1,,,W:Ryan Griffen& Wolfgang Bylsma; A: Emily K. Smith,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2017,26,1,1,,,,,,Cleverman-1.pdf,,Australia,Cleverman-1,1,,NC-2022F,AS,YS,PB,,TH+,TH,,AL+,,AB,JB,NC+,FM,,MM,,,
NC/SL,,Comic book,Proud Heart-The Love of Achilles,,,W: Gary Proudley; A: Gary Chaloner,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2017,26,1,1,,,,,,Proud Heart #1 DL.pdf,,Australia,Proud Heart-The Love of Achilles,1,Reuploaded,NC-2022F,TH,YS,SE,,TH+,TH,, +,,,SD,NC+,SG,,MM,,,
NC/SL,,Comic book,The Deep-Here Be Dragons-2,,,W: Tom Taylor; A:James Brouwer,,Australia,Australia,Australia,Australia,English,,Gestalt,Adventure,Cartoony,,,2013,27,1,2,,,,,,The-Deep-Here-Be-Dragons-2.pdf,,Australia,The Deep-Here Be Dragons-2,1,,NC-2022F,AS,YS,SE,,TH+,AS,, +,,,LZ,NC+,FM,,MM,,,
BK,,Webcomic,Vainglorious,,,Kelly Bull,,,"Australia (""based in"")",Australia,Australia,English,English,Hiveworks Comics,Fantasy,Cartoony,Teen,,2019,28,1,8,0,"When the small dragon Rei decides to challenge his Queen for the throne, he does not expect to get exiled and cursed into human form. Little by little, Rei searches for a cure in the big world outside his nest - making friends, adventures, and headaches along the way.",kellysketches@gmail.com,,Sharing,,,Australia,Vainglorious,1,,NC-2022F,AS,YS,SE,,TH+,AS,, +,,,SD,NC+,FM,,MM,,,
NC/SL,,Comic book,Lustration-1,,,W: Ryan Griffen; A: James Brouwer,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2019,32,1,1,,,,,,Lustration #1 DL.pdf,,Australia,Lustration-1,1,,NC-2022F,AS,,,,TH+,TH,, +,,,LZ+,NC+,FM,,MM,,,
NC/SL,,Comic book,Torn-1,,,W: Andrew Constant; A: Nicola Scott & Joh James,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,,,,2014,34,1,1,,,,,,Torn-1.pdf,,Australia,Torn-1,1,,NC-2022F,TH,,,,TH+,TH,, +,,,LZ,NC+,FM,,MM,,,
NC/SL,,Comic book,Entwinded A Recurrent Romance,,,W: Dr Mike 2000; A:Darren C. Fisher,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2019,36,1,1,,,,,,Entwined A Recurrent Romance.pdf,,Australia,Entwinded A Recurrent Romance,1,,NC-2022F,SK,YS,SE,,TH+,TH,, +,,,XZ,NC+,,,MM,,,
NC/SL,,Comic book,The Eldritch Kid-Whisky and Hate-2,,,W:Christian D. Read; A: Michael Maier,,Australia,Australia,Australia,Australia,English,,Gestalt,Horror,Cartoony,,,2019,42,1,2,,,,,,Eldritch Kid Whisky & Hate #2 DL.pdf,,Australia,The Eldritch Kid-Whisky and Hate-2,1,,NC-2022F,AS,,,,TH+,TH,, +,,,SD,NC+,,,MM,,,
NC/SL,,Comic book,Neomad-Space Junk,,,Sutu,,Australia,Australia,Australia,Australia,English,,Gestalt,Science Fiction,Cartoony,,,2013,60,1,1,,,,,,Neomad-Vol-1-Space-Junk.pdf,,Australia,Neomad-Space Junk,1,relations pop-up window cannot be opened/crashes,NC-2022F,SK/SG/AK,YS,SE,,AK+,TH,, +,,,SD,NC+,,,MM,,RB,
NC/SL,,Comic book,Vowels,,,Skye Ogden,,Australia,Australia,Australia,Australia,English,,Gestalt,Fantasy,Cartoony,,,2014,74,5,1-5,,,,,,Vowels.pdf,,Australia,Vowels,1,,NC-2022F,AS,TH,PB,,TH+,AS,,AL+,,AB,JB,NC+,SG,,MM,,,
NC/SL,,Comic book,Changing Ways-3,,,Justin Randall,,Australia,Australia,Australia,Australia,English,,Gestalt,Horror,Cartoony,,,2017,123,1,3,,,,,,Changing Ways Book 3 DL.pdf,,Australia,Changing Ways-3,1,,NC-2022F,AS,TH,SE,,TH+,AS,, +,,,JB,NC+,FM,,MM,MaM,,
NC,,Comic magazine,"Char Chapman - ""Safari Spies""",,"Char Chapman - The ""Phantom of the East""",Kevan Hardacre,,Australia,Australia,Oceania,Australia,English,,Herald Gravure Pty Ltd,Superhero,Superhero,Everyone,,1953,1-8,,1,,,,,,,,Australia,"Char Chapman - ""Safari Spies""",1,,NC-2022F,AS,,,,TH+,AS,, +,,,JB,NC+,SG,,MM,,,
NC,,Comic magazine,Grey Domino,,,Terry Trowell,,Australia,Australia,Oceania,Australia,English,,Atlas Publications Pty. Ltd.,Superhero,Superhero,Everyone,,1951,1-9,,7,,,,,,,,Australia,Grey Domino,1,,NC-2022F,AS,,,,TH+,AS,, +,,,SD,NC+,SG,,MM,,RB,
NC,,Comic magazine,Jet Fury,,,Larry Horak,,Australia,Australia,Oceania,Australia,English,,Pyramid Publications Pty. Limited,Superhero,Superhero,Everyone,,1951,1-9,,15,,,,,,,,Australia,Jet Fury,1,Reuploaded,NC-2022F,AS,,,,TH+,AS,, +,,,JW,NC+,SG,,MM,,,
NC,,Comic magazine,Clancy of the Overflow,,,Hal English,,Australia,Australia,Oceania,Australia,English,,Apache Comics,Western,Superhero,Everyone,,1956,1-26,,5,,,,,,,,Australia,Clancy of the Overflow,1,,NC-2022F,AS,,,,TH+,AS,, +,,,SD,NC+,SG,,MM,,RB,
NC,,Comic magazine,Crimson Comet,,,John Dixon,,Australia,Australia,Oceania,Australia,English,,Action Comics,Superhero,Superhero,Everyone,,1949,1-26,,59,,,,,,,,Australia,Crimson Comet,1,,NC-2022F,AS,,,,TH+,HM,HM, +,,,XZ,NC+,SG,,MM,,,
NC,,Comic magazine,"Char Chapman - ""Valley of the Ages""",,"Char Chapman - The ""Phantom of the East""",Kevan Hardacre,,Australia,Australia,Oceania,Australia,English,,Herald Gravure Pty Ltd,Superhero,Superhero,Everyone,,1953,2-15,,1,,,,,,,,Australia,"Char Chapman - ""Valley of the Ages""",1,,NC-2022F,TH,,,,TH+,AS,, +,,,,,SG,,MM,,,
NC,,Comic magazine,Phantom Ranger,,,Unknown,,Australia,Australia,Oceania,Australia,English,,Frew Publications Pty Limited,Western,Superhero,Everyone,,1948,,,2,,,,,Shared,,,Australia,Phantom Ranger,1,,NC-2022F,AS,,,,TH+,AS,, +,,,SD,NC+,FM,,MM,,,
BK,,Webcomic,Within,,,Verena Loisel,,Austria,,Europe,Austria,English,English,Hiveworks Comics,"Fantasy, Surreal",Cartoony,Teen,,2020,27,1,8,0,"How can you know if you're awake, when the real world feels just as surreal as your dreams? Living an isolated life of routine and little sleep, a young hitman struggles to keep hold of reality. The world around him seems to move without him, and in his dreams he is lost in an endless abandoned house. When he makes an accidental friend, his whole world is shaken up and he has to open up and explore what is around him. ...only to realize there are things about himself he can't remember.",ver.loisel@gmail.com,,Sharing,,,Austria,Within,1,,NC-2022F,TH,,,,TH+,TH,, +,,,XZ,NC+,FM,,MM,,,
NC,,Webcomic,Today is the last day of the rest of your life,,,Ulli Lust,,Austria,Austria,Europe,Austria,English,,Electrocomics,Memoir,,Adult,,2009,,,,,,,,Private,,,Austria,Today is the last day of the rest of your life,1,,NC-2022F,AS,AS,PB,,TH+,AS,AS,ID+,,AB,JW*,NC+,FM,,MM,,,
NC,,Comic book,Horror (Didha),,,Nahian Nabir,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,4,1,12,,,,,Sharing,,,Bangladesh,Horror (Didha),1,,NC,SG,SG,PB,,NC+,SG,SG,SG+,PG,LP,JW,NC,SG,,MM,,,
NC,,Comic book,Horror (Glitch),,,Adhora Pototry,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,6,1,4,,,,,Sharing,,,Bangladesh,Horror (Glitch),1,,NC,SG,SG,PB,,SG+,YS,YS,ID+,PG,AB,JB,NC,SG,,MM,,,
NC,,Comic book,Horror (Koshai),,,Thanvir Ahmed Rio,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,6,1,11,,,,,Sharing,,,Bangladesh,Horror (Koshai),1,,NC,SG,SG,SE,,NC+,YS,YS,SG(i)+,PG,AB,JB,NC,SG,,MM,,,
NC,,Comic book,Horror (Rakkhosh razze bhoot),,,"G.M. Tanim, Rubaiyath Habib, Saida Nahar, Zahid Hossain",,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,6,1,14,,,,,Sharing,,,Bangladesh,Horror (Rakkhosh razze bhoot),1,,NC,SG,,,,NC+,NC,,CW+,PG,,JB,NC+,SG,,MM,,,
NC,,Comic book,Horror (Tasty food),,,Mishkat,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,7,1,9,,,,,Sharing,,,Bangladesh,Horror (Tasty food),1,,NC,GC/AK,,,,AK+,BK,,,,,SD,NC+,,,MM,,,
NC,,Comic book,Horror (Ke),,,Aubhrodeep Das,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,7,1,6,,,,,Sharing,,,Bangladesh,Horror (Ke),1,,NC,SG,,,,NC+,BK,,ID+,,,JB,NC,,,MM,,,
NC,,Comic book,Horror (Mukchor),,,Ashiqur Rahman Rafi,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,7,1,3,,,,,Sharing,,,Bangladesh,Horror (Mukchor),1,,NC,SG,SG,PB,,NC+,YS,YS,ID+,,AB,JB,NC,SG,,MM,,,
NC,,Comic book,Horror (Nightmare),,,Asma Ul Husna Sonchita,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,7,1,7,,,,,Sharing,,,Bangladesh,Horror (Nightmare),1,,NC,SG,,,,SG+,BK,,SG+,,,JB,NC,,,MM,,,
NC,,Comic book,Horror (Nil Chokh),,,Farsid Araf,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,8,1,5,,,,,Sharing,,,Bangladesh,Horror (Nil Chokh),1,,NC,SG,SG,PB,,SG+,YS,YS,ID+,,,JB,NC,SG,,MM,,,
NC,,Comic book,Horror (Rumal),,,Ashifur Rahman Rakesh,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,8,1,13,,,,,Sharing,,,Bangladesh,Horror (Rumal),1,,NC,SG,,,,NC+,,,SG% (5)+,,,XZ,NC,,,MM,ND,,
NC,,Comic book,Horror  (Moddho raater train),,,Hridita Banik,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,9,1,15,,,,,Sharing,,"In total, Horror series has 15 chapters, but there was no number fof each substory so I assume this one (i.e. the last one published) should be chapter15.",Bangladesh,Horror  (Moddho raater train),1,,NC,SG,BK,PB,,NC+,BK,BK,SG+,,,XZ,NC,SG,,MM,ND,,
NC,,Comic book,Horror (Ghun),,,Adib Reza Rongon,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,10,1,1,,,,,Sharing,,Starting with page2,Bangladesh,Horror (Ghun),1,,NC,SG,SG,PB,,SG+,YS,YS,SG+,,OS,XZ,NC,SG,,MM,,,
NC,,Comic book,Horror (Mormohin),,,CM Alif,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,15,1,8,,,,,Sharing,,,Bangladesh,Horror (Mormohin),1,,NC,AS,,,,NC+,AS,BK,,,,XZ,NC+,,,MM,,,
NC,,Comic book,Horror (Romapod Babur Ekdin),,,"Ridwan Noor Nafis, অনুপম হোর",,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,15,1,2,,,,,Sharing,,,Bangladesh,Horror (Romapod Babur Ekdin),1,,NC,AS,,,,SG+,AS,,,,,SD,NC+,FM,,MM,,,
NC,,Comic book,Horror (Nir Atonko),,,Wasim Bari,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Horror,,Teen,,2020,15,1,10,,,,,Sharing,,,Bangladesh,Horror (Nir Atonko),1,,NC,SG,,,,SG+,,,,,,SD,NC+,SG,,MM,,,
NC,,Comic book,DC Artists,,,Adrian Anik,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,"Action, Thriller",,Teen,,2020,17,1,1,,,,,Sharing,,,Bangladesh,DC Artists,1,,NC,JV,,,,JV+,BK,,,,,SD,NC+,SG,,MM,,,
NC,,Comic book,Durjoy 15,,,Tauhidul Iqbal Sampad,,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,"Action, Thriller",,Teen,,2020,29,1,15,,,,,Private,Durjoy_15.pdf,A crime fiction. A former kickboxing world champion gone rogue since his mother was badly injured by the drug peddler gang. A complicated character who is anything but a conventional hero. This is an ongoing series and one of the most popular comics in Bangladesh.,Bangladesh,Durjoy 15,1,,NC,AS,,,,TH+,BK,, +,,,SD,NC,,,MM,,,
NC,,Comic book,Captian Kathal vs the Molom Party,,,"Samir Asran Rahman, Oishik Jawad, Junaid Iqbal Ishmam",,Bangladesh,Bangladesh,Asia,Bangladesh,English,,Mighty Punch Studios,Superhero,Cartoony,Everyone,,2019,34,1,1,,,,,Private,Captain Kathal 01.pdf,,Bangladesh,Captian Kathal vs the Molom Party,1,,NC,AS,,,,NC+,BK,BK (noChar),,,,SD,NC+,SG,,MM,,,
NC,,Comic book,Shabash,,,Samir Asran Rahman and Fahim Anzoom Rumman,,Bangladesh,Bangladesh,Asia,Bangladesh,English,,Mighty Punch Studios,Superhero,Cartoony,Everyone,,2015,34,1,7,,,,,Private,Shabash 07.pdf,,Bangladesh,Shabash,1,,NC,TH,,,,TH+,AS,,,,,,,SG,,MM,,,
NC,,Comic book,Ruhan Ruhan,,,"Written by: Muhammad Zafar Iqbal, Drawn by: Mehedi Haque",,Bangladesh,Bangladesh,Asia,Bangladesh,Bangla,Bangla,Dhaka Comics,Science Fiction,,Teen,,2014,37,1,1,,,,,Private,RUHAN RUHAN BOOK 01resized.pdf,,Bangladesh,Ruhan Ruhan,1,,NC,SG,,,,SG+,,, +,,,SD,NC+,SG,,MM,,,
NC,,Comic book,Ms. Shabash,,,"Samir Asran Rahaman, Asifur Rahman",,Bangladesh,Bangladesh,Asia,Bangladesh,English,,Mighty Punch Studios,Superhero,Cartoony,Everyone,,2019,41,1,3,,,,,Sharing,Ms. Shabash 03.pdf,,Bangladesh,Ms. Shabash,1,,NC,AS,,,,SG+,AS,,,,,,,SG,,MM,,,
